epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.890871524810791,0.3951731026172638,0.001,0.9956721663475037,0.01845567487180233
1,0.9854667782783508,0.05801717936992645,0.001,0.9974251985549927,0.010534290224313736
2,0.9913129210472107,0.03451137989759445,0.001,0.9975348114967346,0.01300747785717249
3,0.9944121241569519,0.023033728823065758,0.001,0.9987947940826416,0.006297450512647629
4,0.9949285984039307,0.021960631012916565,0.001,0.999233067035675,0.0032913009636104107
5,0.996243417263031,0.016038035973906517,0.001,0.998740017414093,0.0043676067143678665
6,0.9967129826545715,0.013780069537460804,0.001,0.9990139007568359,0.003180120373144746
7,0.9974290728569031,0.010022270493209362,0.001,0.999233067035675,0.002296425634995103
8,0.9973234534263611,0.01034389529377222,0.001,0.9993973970413208,0.001284049591049552
9,0.9977930188179016,0.010784650221467018,0.001,0.9998904466629028,0.00045758395572192967
10,0.9980395436286926,0.007947374135255814,0.001,0.999506950378418,0.0022083416115492582
11,0.9984269142150879,0.0066061499528586864,0.001,0.9989591240882874,0.006212195381522179
12,0.9985560774803162,0.007155910134315491,0.001,0.999506950378418,0.000997584662400186
13,0.9986616969108582,0.005930805113166571,0.001,0.9993973970413208,0.0033981793094426394
14,0.9986734390258789,0.005835858639329672,0.001,0.9996165037155151,0.0006595432641915977
15,0.9984034299850464,0.006845828145742416,0.001,0.9998356699943542,0.0009465005714446306
16,0.9993308782577515,0.0024932536762207747,0.0005,0.9999452233314514,0.00024437365937046707
17,0.9995421767234802,0.001885486883111298,0.0005,0.9996712803840637,0.00046398810809478164
18,0.9993778467178345,0.002674293937161565,0.0005,0.9998904466629028,0.000647005217615515
19,0.9994364976882935,0.0021200154442340136,0.0005,1.0,3.3697026083245873e-05
20,0.9995304346084595,0.001920937211252749,0.0005,0.9994521737098694,0.0016875221626833081
21,0.9994717240333557,0.0020616170950233936,0.0005,1.0,4.585385977406986e-05
22,0.9995304346084595,0.0018630708800628781,0.0005,0.9999452233314514,0.00010493770969333127
23,0.9995891451835632,0.0014188116183504462,0.0005,0.9997261166572571,0.0031183522660285234
24,0.9995304346084595,0.0019710876513272524,0.0005,1.0,1.5246379007294308e-05
25,0.9998121857643127,0.0009809058392420411,0.0005,0.9999452233314514,8.813309977995232e-05
26,0.9997652173042297,0.0008974020602181554,0.00025,1.0,4.647111836675322e-06
27,0.999800443649292,0.0007764738984405994,0.00025,1.0,1.7355792806483805e-05
28,0.9998356699943542,0.0005264825304038823,0.00025,1.0,2.3886736016720533e-05
29,0.9998121857643127,0.0008717435994185507,0.00025,1.0,6.0471675169537775e-06
30,0.999847412109375,0.0004048743285238743,0.00025,1.0,5.524906896425819e-07
31,0.9998239278793335,0.0006550424150191247,0.00025,0.9999452233314514,6.937531725270674e-05
