epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5757731199264526,1.3510481119155884,0.001,0.9565772414207458,0.17453722655773163
1,0.8969964385032654,0.3444763422012329,0.001,0.9615261554718018,0.12166256457567215
2,0.9387315511703491,0.21842312812805176,0.001,0.9774904251098633,0.07462695986032486
3,0.9533045887947083,0.16979509592056274,0.001,0.9896232485771179,0.037612590938806534
4,0.9636357426643372,0.13803225755691528,0.001,0.9902617931365967,0.03621045500040054
5,0.9682197570800781,0.11944513767957687,0.001,0.992337167263031,0.034191906452178955
6,0.9711617231369019,0.10749279707670212,0.001,0.9932950139045715,0.02661065384745598
7,0.9755405187606812,0.09298525005578995,0.001,0.9910600185394287,0.0334726944565773
8,0.9762246608734131,0.0884699821472168,0.001,0.9958493113517761,0.020105767995119095
9,0.9795429706573486,0.08053740859031677,0.001,0.9958493113517761,0.019769733771681786
10,0.9794061183929443,0.07957348972558975,0.001,0.9945721626281738,0.020640142261981964
11,0.9820744395256042,0.06636985391378403,0.001,0.9870689511299133,0.05066348984837532
12,0.983511209487915,0.060013413429260254,0.001,0.9950510859489441,0.018351683393120766
13,0.9827244281768799,0.06638220697641373,0.001,0.9960089325904846,0.01753281056880951
14,0.9845716953277588,0.05800091475248337,0.001,0.9960089325904846,0.01640205644071102
15,0.9846059083938599,0.05837452784180641,0.001,0.9924967885017395,0.032184746116399765
16,0.9857690334320068,0.05259823426604271,0.001,0.992337167263031,0.04268910735845566
17,0.9860426783561707,0.04952972009778023,0.001,0.9974457025527954,0.008772457018494606
18,0.986213743686676,0.04812925308942795,0.001,0.9971264600753784,0.008884967304766178
19,0.9887452125549316,0.040153518319129944,0.001,0.9971264600753784,0.01043454185128212
20,0.9875820875167847,0.047923170030117035,0.001,0.9974457025527954,0.009623815305531025
21,0.9891214966773987,0.0410684309899807,0.001,0.9971264600753784,0.009871539659798145
22,0.989258348941803,0.04194575920701027,0.001,0.9974457025527954,0.008529610000550747
23,0.9891557097434998,0.041250597685575485,0.001,0.9963282346725464,0.012101864442229271
24,0.9893609881401062,0.03904681280255318,0.001,0.9976053833961487,0.0078018042258918285
25,0.989258348941803,0.03812152147293091,0.001,0.9974457025527954,0.008576459251344204
26,0.9893267750740051,0.03882724046707153,0.001,0.9982439279556274,0.008207888342440128
27,0.9911056160926819,0.03351513296365738,0.001,0.9982439279556274,0.0064253355376422405
28,0.9924740195274353,0.0296144038438797,0.001,0.9984035491943359,0.006087157409638166
29,0.9901135563850403,0.03635314106941223,0.001,0.9960089325904846,0.012318669818341732
30,0.9901819825172424,0.03688940405845642,0.001,0.998084306716919,0.006962098181247711
31,0.9912424683570862,0.031232494860887527,0.001,0.9971264600753784,0.012252187356352806
32,0.9928160905838013,0.028373394161462784,0.001,0.9982439279556274,0.007025505416095257
33,0.9922003149986267,0.03131239488720894,0.001,0.998084306716919,0.007609510328620672
34,0.9947659969329834,0.019829606637358665,0.0005,0.9985632300376892,0.006864035502076149
35,0.9948002099990845,0.021319668740034103,0.0005,0.9979246258735657,0.006392670329660177
36,0.9948002099990845,0.019258592277765274,0.0005,0.9990421533584595,0.004298167768865824
37,0.9959975481033325,0.01450999453663826,0.0005,0.9982439279556274,0.004898864775896072
38,0.9953133463859558,0.01802356354892254,0.0005,0.998882532119751,0.006391088478267193
39,0.9960317611694336,0.014656110666692257,0.0005,0.998882532119751,0.0045580435544252396
40,0.9950739145278931,0.01728907972574234,0.0005,0.9993614554405212,0.0030633562710136175
41,0.9966133236885071,0.013728739693760872,0.0005,0.9985632300376892,0.002780826995149255
42,0.9955186247825623,0.0165744349360466,0.0005,0.9995210766792297,0.002448174636811018
43,0.9957922697067261,0.016312265768647194,0.0005,0.9993614554405212,0.002572975354269147
44,0.9956554174423218,0.01728513091802597,0.0005,0.9993614554405212,0.0030088615603744984
45,0.9964764714241028,0.014071580953896046,0.0005,0.9993614554405212,0.0033184103667736053
46,0.9963054060935974,0.015155976638197899,0.0005,0.9993614554405212,0.0025274811778217554
47,0.9960659742355347,0.01409289613366127,0.0005,0.9993614554405212,0.003664397867396474
48,0.9967843294143677,0.011959301307797432,0.00025,0.999201774597168,0.0020608557388186455
49,0.9973316788673401,0.009810333140194416,0.00025,0.9995210766792297,0.00181573408190161
